SPN name,SPN,FMI,source
Battery Cooling System ErrorFault Code 29,516000,2,CABIN_IO_1_ECU
Inverter OverloadFault Code 15,400012,0,CABIN_IO_1_ECU
Inverter OverloadFault Code 15,400012,1,CABIN_IO_1_ECU
Inverter OverloadFault Code 15,400012,2,CABIN_IO_1_ECU
Inverter OverloadFault Code 15,400012,3,CABIN_IO_1_ECU
Inverter OverloadFault Code 15,400012,4,CABIN_IO_1_ECU
Inverter OverloadFault Code 15,400012,5,CABIN_IO_1_ECU
Charge Port Communication ErrorFault Code 25,400008,16,CABIN_IO_1_ECU
Charge Port Communication ErrorFault Code 25,400008,0,CABIN_IO_1_ECU
Battery OverheatingFault Code 24,400014,0,CABIN_IO_1_ECU
Battery OverheatingFault Code 24,400014,2,CABIN_IO_1_ECU
High Voltage DisconnectFault Code 4,2651,12,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 20,2651,10,CABIN_IO_1_ECU
Inverter OverloadFault Code 18,520201,8,CABIN_IO_1_ECU
Inverter OverloadFault Code 18,520201,9,CABIN_IO_1_ECU
Inverter OverloadFault Code 18,520201,6,CABIN_IO_1_ECU
Inverter OverloadFault Code 18,520201,7,CABIN_IO_1_ECU
Inverter OverloadFault Code 18,520201,11,CABIN_IO_1_ECU
Inverter OverloadFault Code 18,520201,0,CABIN_IO_1_ECU
Inverter OverloadFault Code 18,520201,1,CABIN_IO_1_ECU
Inverter OverloadFault Code 18,520201,2,CABIN_IO_1_ECU
Inverter OverloadFault Code 18,520201,3,CABIN_IO_1_ECU
Inverter OverloadFault Code 18,520201,4,CABIN_IO_1_ECU
Inverter OverloadFault Code 18,520201,5,CABIN_IO_1_ECU
Traction Control System FailureFault Code 18,518249,2,CABIN_IO_1_ECU
Thermal Management System FailureFault Code 8,518252,14,CABIN_IO_1_ECU
Electric Drive Unit OvercurrentFault Code 19,518251,14,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 11,518250,2,CABIN_IO_1_ECU
Battery Cell ImbalanceFault Code 11,519283,3,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 26,519284,14,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 16,514081,16,CABIN_IO_1_ECU
Battery OverheatingFault Code 27,514082,16,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 24,514083,16,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 2,514084,16,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 14,514085,16,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 31,514086,16,CABIN_IO_1_ECU
High Voltage DisconnectFault Code 22,514087,16,CABIN_IO_1_ECU
Traction Control System FailureFault Code 21,514088,16,CABIN_IO_1_ECU
Battery Cell ImbalanceFault Code 5,514089,16,CABIN_IO_1_ECU
Inverter OverloadFault Code 7,514090,16,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 14,514091,16,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 5,514092,16,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 1,514093,16,CABIN_IO_1_ECU
Battery OverheatingFault Code 6,514094,16,CABIN_IO_1_ECU
Inverter OverloadFault Code 7,514095,16,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 16,514081,18,CABIN_IO_1_ECU
Battery OverheatingFault Code 27,514082,18,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 24,514083,18,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 2,514084,18,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 14,514085,18,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 31,514086,18,CABIN_IO_1_ECU
High Voltage DisconnectFault Code 22,514087,18,CABIN_IO_1_ECU
Traction Control System FailureFault Code 21,514088,18,CABIN_IO_1_ECU
Battery Cell ImbalanceFault Code 5,514089,18,CABIN_IO_1_ECU
Inverter OverloadFault Code 7,514090,18,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 14,514091,18,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 5,514092,18,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 1,514093,18,CABIN_IO_1_ECU
Battery OverheatingFault Code 6,514094,18,CABIN_IO_1_ECU
Inverter OverloadFault Code 7,514095,18,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 16,514081,3,CABIN_IO_1_ECU
Battery OverheatingFault Code 27,514082,3,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 24,514083,3,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 2,514084,3,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 14,514085,3,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 31,514086,3,CABIN_IO_1_ECU
High Voltage DisconnectFault Code 22,514087,3,CABIN_IO_1_ECU
Traction Control System FailureFault Code 21,514088,3,CABIN_IO_1_ECU
Battery Cell ImbalanceFault Code 5,514089,3,CABIN_IO_1_ECU
Inverter OverloadFault Code 7,514090,3,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 14,514091,3,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 5,514092,3,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 1,514093,3,CABIN_IO_1_ECU
Battery OverheatingFault Code 6,514094,3,CABIN_IO_1_ECU
Inverter OverloadFault Code 7,514095,3,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 16,514081,4,CABIN_IO_1_ECU
Battery OverheatingFault Code 27,514082,4,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 24,514083,4,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 2,514084,4,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 14,514085,4,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 31,514086,4,CABIN_IO_1_ECU
High Voltage DisconnectFault Code 22,514087,4,CABIN_IO_1_ECU
Traction Control System FailureFault Code 21,514088,4,CABIN_IO_1_ECU
Battery Cell ImbalanceFault Code 5,514089,4,CABIN_IO_1_ECU
Inverter OverloadFault Code 7,514090,4,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 14,514091,4,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 5,514092,4,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 1,514093,4,CABIN_IO_1_ECU
Battery OverheatingFault Code 6,514094,4,CABIN_IO_1_ECU
Inverter OverloadFault Code 7,514095,4,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 16,514081,14,CABIN_IO_1_ECU
Battery OverheatingFault Code 27,514082,14,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 24,514083,14,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 2,514084,14,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 14,514085,14,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 31,514086,14,CABIN_IO_1_ECU
High Voltage DisconnectFault Code 22,514087,14,CABIN_IO_1_ECU
Traction Control System FailureFault Code 21,514088,14,CABIN_IO_1_ECU
Battery Cell ImbalanceFault Code 5,514089,14,CABIN_IO_1_ECU
Inverter OverloadFault Code 7,514090,14,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 14,514091,14,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 5,514092,14,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 1,514093,14,CABIN_IO_1_ECU
Battery OverheatingFault Code 6,514094,14,CABIN_IO_1_ECU
Inverter OverloadFault Code 7,514095,14,CABIN_IO_1_ECU
DC-DC Converter MalfunctionFault Code 10,518243,14,CABIN_IO_1_ECU
Powertrain Communication TimeoutFault Code 12,518483,6,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 30,518484,6,CABIN_IO_1_ECU
Charging Station MismatchFault Code 27,518244,14,CABIN_IO_1_ECU
Battery OverheatingFault Code 9,518242,2,CABIN_IO_1_ECU
Motor Controller FaultFault Code 31,517200,31,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 2,517201,31,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 19,517202,31,CABIN_IO_1_ECU
Vehicle Speed Sensor FaultFault Code 27,517203,31,CABIN_IO_1_ECU
Drive Motor OverloadFault Code 27,517204,31,CABIN_IO_1_ECU
High Voltage DisconnectFault Code 26,517205,31,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 3,517206,31,CABIN_IO_1_ECU
Powertrain Communication TimeoutFault Code 2,517207,31,CABIN_IO_1_ECU
HVAC System FaultFault Code 26,517208,31,CABIN_IO_1_ECU
DC-DC Converter MalfunctionFault Code 18,517209,31,CABIN_IO_1_ECU
Battery Cell ImbalanceFault Code 7,517210,31,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 14,517211,31,CABIN_IO_1_ECU
Charge Port Communication ErrorFault Code 11,517212,31,CABIN_IO_1_ECU
DC-DC Converter MalfunctionFault Code 3,517213,31,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 2,517214,31,CABIN_IO_1_ECU
Inverter OverloadFault Code 7,517215,31,CABIN_IO_1_ECU
Inverter OverloadFault Code 27,517216,31,CABIN_IO_1_ECU
Battery OverheatingFault Code 24,517217,31,CABIN_IO_1_ECU
Charging Station MismatchFault Code 28,517218,31,CABIN_IO_1_ECU
Traction Control System FailureFault Code 8,517219,31,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 30,517220,31,CABIN_IO_1_ECU
DC-DC Converter MalfunctionFault Code 14,517221,31,CABIN_IO_1_ECU
Thermal Management System FailureFault Code 12,517222,31,CABIN_IO_1_ECU
Powertrain Communication TimeoutFault Code 26,517223,31,CABIN_IO_1_ECU
High Voltage DisconnectFault Code 18,517224,31,CABIN_IO_1_ECU
Drive Motor OverloadFault Code 10,517225,31,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 2,517226,31,CABIN_IO_1_ECU
Battery OverheatingFault Code 11,517227,31,CABIN_IO_1_ECU
Drive Motor OverloadFault Code 23,517228,31,CABIN_IO_1_ECU
Charge Port Communication ErrorFault Code 5,517229,31,CABIN_IO_1_ECU
Battery OverheatingFault Code 27,517230,31,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 14,517231,31,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 20,517232,31,CABIN_IO_1_ECU
Inverter OverloadFault Code 1,517233,31,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 6,517234,31,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 9,517235,31,CABIN_IO_1_ECU
Charge Port Communication ErrorFault Code 12,517236,31,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 11,517237,31,CABIN_IO_1_ECU
Battery Cooling System ErrorFault Code 20,517238,31,CABIN_IO_1_ECU
High Voltage DisconnectFault Code 8,517239,31,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 19,517240,31,CABIN_IO_1_ECU
Thermal Management System FailureFault Code 29,517241,31,CABIN_IO_1_ECU
Traction Control System FailureFault Code 3,517242,31,CABIN_IO_1_ECU
Inverter OverloadFault Code 14,517243,31,CABIN_IO_1_ECU
Electric Drive Unit OvercurrentFault Code 28,517244,31,CABIN_IO_1_ECU
HVAC System FaultFault Code 31,517245,31,CABIN_IO_1_ECU
Charging Station MismatchFault Code 10,517246,31,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 1,517247,31,CABIN_IO_1_ECU
HVAC System FaultFault Code 31,517248,31,CABIN_IO_1_ECU
DC-DC Converter MalfunctionFault Code 6,517249,31,CABIN_IO_1_ECU
Charging Station MismatchFault Code 3,517250,31,CABIN_IO_1_ECU
Charge Port Communication ErrorFault Code 21,517251,31,CABIN_IO_1_ECU
Powertrain Communication TimeoutFault Code 8,517252,31,CABIN_IO_1_ECU
Drive Motor OverloadFault Code 29,517253,31,CABIN_IO_1_ECU
Thermal Management System FailureFault Code 26,517254,31,CABIN_IO_1_ECU
Powertrain Communication TimeoutFault Code 31,517255,31,CABIN_IO_1_ECU
Charging Station MismatchFault Code 16,517256,31,CABIN_IO_1_ECU
Battery Cell ImbalanceFault Code 30,517257,31,CABIN_IO_1_ECU
Charging Station MismatchFault Code 19,517258,31,CABIN_IO_1_ECU
Thermal Management System FailureFault Code 14,517259,31,CABIN_IO_1_ECU
Inverter OverloadFault Code 17,517260,31,CABIN_IO_1_ECU
Electric Drive Unit OvercurrentFault Code 11,517261,31,CABIN_IO_1_ECU
Inverter OverloadFault Code 21,517262,31,CABIN_IO_1_ECU
Battery OverheatingFault Code 10,517263,31,CABIN_IO_1_ECU
High Voltage DisconnectFault Code 21,517264,31,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 15,517265,31,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 21,517266,31,CABIN_IO_1_ECU
Powertrain Communication TimeoutFault Code 1,517267,31,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 21,517268,31,CABIN_IO_1_ECU
Vehicle Speed Sensor FaultFault Code 11,517269,31,CABIN_IO_1_ECU
Charging Station MismatchFault Code 30,517270,31,CABIN_IO_1_ECU
Inverter OverloadFault Code 8,517271,31,CABIN_IO_1_ECU
Motor Controller FaultFault Code 21,517272,31,CABIN_IO_1_ECU
DC-DC Converter MalfunctionFault Code 23,517273,31,CABIN_IO_1_ECU
Motor Controller FaultFault Code 20,517274,31,CABIN_IO_1_ECU
Vehicle Speed Sensor FaultFault Code 8,517275,31,CABIN_IO_1_ECU
Inverter OverloadFault Code 11,517276,31,CABIN_IO_1_ECU
Charging Station MismatchFault Code 20,517277,31,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 13,517278,31,CABIN_IO_1_ECU
Charge Port Communication ErrorFault Code 16,517279,31,CABIN_IO_1_ECU
Battery OverheatingFault Code 14,517280,31,CABIN_IO_1_ECU
Thermal Management System FailureFault Code 8,517281,31,CABIN_IO_1_ECU
Battery Cell ImbalanceFault Code 14,517282,31,CABIN_IO_1_ECU
Charging Station MismatchFault Code 28,517283,31,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 4,517284,31,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 13,517285,31,CABIN_IO_1_ECU
HVAC System FaultFault Code 15,517286,31,CABIN_IO_1_ECU
Battery OverheatingFault Code 30,517287,31,CABIN_IO_1_ECU
Powertrain Communication TimeoutFault Code 31,517288,31,CABIN_IO_1_ECU
HVAC System FaultFault Code 6,517289,31,CABIN_IO_1_ECU
Motor Controller FaultFault Code 18,517290,31,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 29,517291,31,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 5,517292,31,CABIN_IO_1_ECU
Electric Drive Unit OvercurrentFault Code 14,517293,31,CABIN_IO_1_ECU
Battery Cell ImbalanceFault Code 1,517294,31,CABIN_IO_1_ECU
Motor Controller FaultFault Code 26,517295,31,CABIN_IO_1_ECU
Electric Drive Unit OvercurrentFault Code 12,517296,31,CABIN_IO_1_ECU
Motor Controller FaultFault Code 16,517297,31,CABIN_IO_1_ECU
Battery Cooling System ErrorFault Code 27,517298,31,CABIN_IO_1_ECU
Electric Drive Unit OvercurrentFault Code 24,517299,31,CABIN_IO_1_ECU
DC-DC Converter MalfunctionFault Code 20,517300,31,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 4,517301,31,CABIN_IO_1_ECU
Inverter OverloadFault Code 21,517302,31,CABIN_IO_1_ECU
DC-DC Converter MalfunctionFault Code 3,517303,31,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 19,517304,31,CABIN_IO_1_ECU
Inverter OverloadFault Code 1,517305,31,CABIN_IO_1_ECU
DC-DC Converter MalfunctionFault Code 2,517306,31,CABIN_IO_1_ECU
Battery Cooling System ErrorFault Code 29,517307,31,CABIN_IO_1_ECU
Inverter OverloadFault Code 14,517308,31,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 4,517309,31,CABIN_IO_1_ECU
Battery OverheatingFault Code 5,517310,31,CABIN_IO_1_ECU
DC-DC Converter MalfunctionFault Code 3,517311,31,CABIN_IO_1_ECU
Drive Motor OverloadFault Code 15,517312,31,CABIN_IO_1_ECU
Battery Cell ImbalanceFault Code 30,517313,31,CABIN_IO_1_ECU
Thermal Management System FailureFault Code 10,517314,31,CABIN_IO_1_ECU
Motor Controller FaultFault Code 8,517315,31,CABIN_IO_1_ECU
Traction Control System FailureFault Code 26,517316,31,CABIN_IO_1_ECU
Traction Control System FailureFault Code 17,517317,31,CABIN_IO_1_ECU
Drive Motor OverloadFault Code 29,517318,31,CABIN_IO_1_ECU
Powertrain Communication TimeoutFault Code 20,517319,31,CABIN_IO_1_ECU
Traction Control System FailureFault Code 7,517320,31,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 14,517321,31,CABIN_IO_1_ECU
DC-DC Converter MalfunctionFault Code 16,517322,31,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 25,517323,31,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 20,517324,31,CABIN_IO_1_ECU
Charge Port Communication ErrorFault Code 8,517325,31,CABIN_IO_1_ECU
Battery OverheatingFault Code 13,517326,31,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 7,517327,31,CABIN_IO_1_ECU
Battery OverheatingFault Code 7,517328,31,CABIN_IO_1_ECU
Charge Port Communication ErrorFault Code 11,517329,31,CABIN_IO_1_ECU
Traction Control System FailureFault Code 23,517330,31,CABIN_IO_1_ECU
Charge Port Communication ErrorFault Code 22,517331,31,CABIN_IO_1_ECU
Drive Motor OverloadFault Code 24,517332,31,CABIN_IO_1_ECU
Thermal Management System FailureFault Code 10,517333,31,CABIN_IO_1_ECU
Inverter OverloadFault Code 20,517334,31,CABIN_IO_1_ECU
Charge Port Communication ErrorFault Code 24,517335,31,CABIN_IO_1_ECU
High Voltage DisconnectFault Code 5,517336,31,CABIN_IO_1_ECU
Charge Port Communication ErrorFault Code 11,517337,31,CABIN_IO_1_ECU
High Voltage DisconnectFault Code 2,517338,31,CABIN_IO_1_ECU
Vehicle Speed Sensor FaultFault Code 17,517339,31,CABIN_IO_1_ECU
Powertrain Communication TimeoutFault Code 14,518246,2,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 15,518248,2,CABIN_IO_1_ECU
Inverter OverloadFault Code 11,518245,2,CABIN_IO_1_ECU
Motor Controller FaultFault Code 20,518247,2,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 27,400009,16,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 27,400009,0,CABIN_IO_1_ECU
HVAC System FaultFault Code 16,400010,16,CABIN_IO_1_ECU
HVAC System FaultFault Code 16,400010,0,CABIN_IO_1_ECU
Battery OverheatingFault Code 10,400005,0,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 30,400003,0,CABIN_IO_1_ECU
Vehicle Speed Sensor FaultFault Code 1,400004,0,CABIN_IO_1_ECU
Vehicle Speed Sensor FaultFault Code 1,400004,19,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 1,168,1,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 1,168,0,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 1,168,18,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 1,168,16,CABIN_IO_1_ECU
Traction Control System FailureFault Code 15,516100,1,CABIN_IO_1_ECU
Traction Control System FailureFault Code 15,516100,0,CABIN_IO_1_ECU
Inverter OverloadFault Code 15,519499,16,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 29,519455,2,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 29,519455,18,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 29,519455,12,CABIN_IO_1_ECU
Charging Station MismatchFault Code 24,519365,13,CABIN_IO_1_ECU
Charging Station MismatchFault Code 24,519365,2,CABIN_IO_1_ECU
Charging Station MismatchFault Code 24,519365,12,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 16,519364,11,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 16,519364,0,CABIN_IO_1_ECU
Battery Cell ImbalanceFault Code 5,519477,18,CABIN_IO_1_ECU
Thermal Management System FailureFault Code 6,519476,0,CABIN_IO_1_ECU
